19, 29
西门,Westen Door
西湖池,West Lake Pool
零零阁,Zero Court
近春园楼,Near spring garden
校医院,school clinic
荷塘月色,Pond moonlight
二校门,Two gate
大礼堂,Auditorium
工字亭,Workplace Pavilion
古月堂,Ancient moon pond
第十餐厅,Tenth restaurant
水木年华,Mizuki
自清亭,Since the kiosk
逸夫楼,Yifu floor
工会俱乐部,Union club
体育馆,stadium
气象台,Weather station
射击馆,Shooting hall
1,2,2
1,4,3
2,3,1
2,7,5
3,6,2
4,5,1
4,6,2
5,6,1
5,15,5
5,17,4
6,10,2
7,8,4
7,9,3
8,9,2
8,11,1
9,10,1
9,13,1
10,15,1
11,12,3
11,13,1
11,14,3
12,13,1
12,14,3
12,15,4
12,16,3
12,18,3
15,16,3
16,17,2
16,18,2
